"id","osm_id","name","highway","xy_start","xy_end","length","datetime","daytime","distance","travel_time","speed"
177,34063497,"Via Osanna","unclassified","40.6373214,17.9314245","40.6368149,17.9339525",224.996,"2025-09-02 10:05:01.515859","day",224,38,21
180,34038713,"Via Bezzecca","residential","40.6238624,17.9253274","40.6230623,17.9239813",145.163,"2025-09-02 10:05:01.515859","day",144,22,24
181,34024922,"Via Maria Santissima Ausiliatrice","tertiary","40.6280443,17.9312522","40.6266123,17.9296505",209.455,"2025-09-02 10:05:01.515859","day",207,49,15
183,34024916,"Via Sicilia","unclassified","40.6271409,17.9315399","40.630295, 17.9371378",619.687,"2025-09-02 10:05:01.515859","day",593,104,21
184,34024888,"Via Grazia Balsamo","unclassified","40.6295208,17.9257274","40.631874,17.9237496",310.676,"2025-09-02 10:05:01.515859","day",317,64,18
186,336803749,"Via Irpinia","unclassified","40.6264022,17.9317219","40.6278229,17.9314176",159.9,"2025-09-02 10:05:01.515859","day",159,41,14
187,269414020,"Piazza Virgilio","tertiary","40.6291630, 17.9321802","40.628896, 17.9320153",20.145,"2025-09-02 10:05:01.515859","day",33,6,20
188,268266406,"Via Appia","tertiary","40.6279129735465, 17.922852408072835","40.6266695,17.9207602",269.769,"2025-09-02 10:05:01.515859","day",568,107,19
189,267558714,"Via Romolo","unclassified","40.6293345, 17.929365","40.6285049,17.9271399",215.185,"2025-09-02 10:05:01.515859","day",210,58,13
190,267552004,"Via Alessandro Favia","residential","40.6287697,17.9227031","40.62926491849922, 17.922304404392236",209.228,"2025-09-02 10:05:01.515859","day",62,11,20
191,267551992,"Via Don Giovanni Minzoni","residential","40.629251090232906, 17.92231799053386","40.6295261,17.9228975",63.092,"2025-09-02 10:05:01.515859","day",58,9,23
192,267273116,"Via Osanna","unclassified","40.6376194,17.9309272","40.6373214,17.9314245",53.839,"2025-09-02 10:05:01.515859","day",54,11,18
193,174081067,"Via Maria Santissima Ausiliatrice","tertiary","40.6288853,17.9319869","40.628179,17.9313747",94.004,"2025-09-02 10:05:01.515859","day",93,20,17
194,161201131,"Via Solferino","unclassified","40.62721767, 17.9272157","40.6262283, 17.925306",204.062,"2025-09-02 10:05:01.515859","day",195,51,14
