fid,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,startpoint,Endpoint,POSIZIONE,path,Distanza,output_distanza in metri,output_speed km/h,output_tempo percorrenza in secondi
17,422354399,5115,tertiary,Via Porta Lecce,,F,0,0,F,F,"40.6325866,17.9460503","40.6329511,17.9458786",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,43.0041140651598,43,26,6
18,422354400,5115,tertiary,Via Porta Lecce,,F,0,-1,F,T,"40.6329511,17.9458786","40.6331085,17.9457904",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,19.0048618992463,19,34,2
19,432159683,5122,residential,Via del mare,,B,0,0,F,F,"40.6394855,17.9481199","40.6393668,17.9483306",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,22.1680953586052,20,24,3
20,432159685,5115,tertiary,Piazza delle Capitanerie di Porto,,F,0,0,F,F,"40.6393052,17.9486561","40.6391981,17.9483632",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,54.9009112676562,315,14,84
21,432160322,5115,tertiary,Via del Mare,,B,30,0,F,F,"40.6356734,17.9489021","40.632629,17.9470327",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,377.124677034678,378,38,36
22,591643197,5115,tertiary,Via Bastioni San Giacomo,,F,0,0,F,F,"40.6321039,17.9459428","40.6320642,17.9460888",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,13.230612081179,13,47,1
23,591643198,5115,tertiary,Via Bastioni San Giacomo,,F,0,0,F,F,"40.6321223,17.9461126","40.6321039,17.9459428",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,14.8357323241411,17,31,2
24,591643199,5115,tertiary,Via del Mare,,F,0,0,F,F,"40.6322208,17.9464718","40.6321471,17.946214",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,23.2970323960512,23,41,2
25,591643200,5115,tertiary,Via del Mare,,F,0,0,F,F,"40.6320928,17.9462929","40.6322208,17.9464718",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,20.8331178303819,20,36,2
26,591643203,5115,tertiary,Via del Mare,,F,0,0,F,F,"40.6357879,17.9490041","40.6361694,17.9495187",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,60.9407384855564,63,32,7
